β,γ,E,R0
0.7228438391323999,0.10994744240590541,12.79119761526143,6.574448875889223
0.718188348238839,0.10583580081966244,12.961819179901742,6.78587342540722
0.7226365325927163,0.10976433738480888,12.798811221792906,6.583527489983531
0.7340519163540727,0.1209500678371538,12.39699694713743,6.069049232302989
0.7434875729834787,0.1302432606619501,12.065171046976129,5.708453314242652
0.7488112061219617,0.13549213504572172,11.877742101632752,5.526602749814784
0.7525938551741561,0.13947172887563514,11.751872549443183,5.396031591787557
0.7563317084101039,0.14335535137313385,11.672141663384421,5.275922392610783
0.757973320455211,0.14481896188558532,11.639852856528046,5.233936983017806
0.7587216857202846,0.1455295935749943,11.625157804003052,5.213521642450684
0.7615606927137434,0.14847799795863492,11.629993464736309,5.129114772452075
0.7655089554576434,0.15251792835911335,11.654666943413984,5.019140790158144
0.7716503812800115,0.158958203859929,11.696868329925907,4.854423128484613
0.7792295317608744,0.16780427317293278,11.759226969432923,4.643681099573845
0.787778571942319,0.22777640004611618,11.966759858385503,3.458560991317904
0.7883081457724949,0.22868144119134737,11.966151522194997,3.447188987727624
0.7867872219578994,0.22532173880173378,11.96870566723212,3.4918389416931186
0.7900148623155324,0.23195753821437506,11.963169767327924,3.4058598327828475
0.7943226216789112,0.24008183492181512,11.952785880204349,3.3085494449740014
0.7989054893916526,0.24862733414494773,11.937511348940475,3.2132649136876363
0.8037374581088166,0.25722628555545896,11.918533224945655,3.1246319028913074
0.808795944901746,0.26580346129316595,11.896611002478163,3.0428345100054606
0.813286537811798,0.27339298609704415,11.901277576210157,2.9747893295371965
0.8173470246065213,0.279468114802058,11.920815679619192,2.9246521564201795
0.821886403317363,0.2806362911223853,11.953946813190084,2.9286533114811544
0.8272732368151858,0.27823586600102207,12.003998118307576,2.97328036354647
0.8331168435123912,0.2807941693335029,12.076482173193003,2.9670019341565728
0.8388851449052369,0.31388481679014885,12.18393936536364,2.672589115599315
0.8444975475770244,0.32224138993824397,12.248386070537872,2.6206985630829993
0.8490956738786084,0.32889843954732567,12.29936561195006,2.5816348507072524
0.851844959910499,0.33290520461633877,12.329076738537363,2.558821394493425
0.8541211355086253,0.33439191095019266,12.355408162898058,2.5542517852228963
0.8553045213119568,0.33510091003041365,12.369275597451994,2.552378987076847
0.8547145693369032,0.3357708297276353,12.361120357706497,2.5455295507064015
0.8557695468349963,0.33515360141773265,12.3750299660111,2.5533652128904687
0.8545813493830119,0.33312533574877884,12.36258267637035,2.565344804717828
0.8534300718959709,0.3300268472419296,12.351505099840312,2.5859413530389395
0.8485265359873604,0.3271209912309068,12.293805791826031,2.5939226119194716
0.8464377083383199,0.32363857580639915,12.270794924657894,2.6153795363524885
0.844058203604519,0.3201544257824588,12.243835350998996,2.636409606213118
0.843461963916558,0.31624320529708777,12.237409231803738,2.6671307075963453
0.8402645844827792,0.312926053485997,12.199647083836535,2.6851857655258478
0.8385554736391998,0.3093513068811366,12.178757417451738,2.7106899340218455
0.8363255025179949,0.30598944272468426,12.151362150089177,2.7331841748229317
0.8336573321329244,0.3027544947643861,12.118681937674992,2.7535754102732812
0.8306693968634681,0.29977632593578923,12.082525726323501,2.7709639654513407
0.8284789741772592,0.2960810445430969,12.053922547395496,2.798149322445624
0.8256876216415135,0.2913043137169406,12.016338563862487,2.8344503763299276
0.823313095359973,0.2850034597314166,11.978475669768022,2.8887828103415027
0.818651453604833,0.2796482351969823,11.930474602241546,2.9274329338362555
0.8157348183830164,0.2741888278646616,11.918199650819425,2.975084086159993
0.8128386252515825,0.27002138867735703,11.902759297716162,3.0102749609321746
0.8098860547245975,0.2661318426059028,11.898667389783153,3.043176069403708
0.8079606524650416,0.26185814621031583,11.911834794787577,3.085489850738171
0.8046836318645018,0.25621395248579826,11.92539038810992,3.1406706155438773
0.8012644999111652,0.2504854267421802,11.937236331863469,3.198846776566731
0.7976901456409181,0.2447104743281454,11.94714996495018,3.2597302907894843
0.7947877696086916,0.23859033777711552,11.957608459955107,3.3311817109339956
0.7916208389150071,0.23270414320015562,11.964500451727014,3.4018338824079764
0.7882154627996264,0.2268947781191025,11.968612948312037,3.4739250913296615
0.7852488688479157,0.22033357179919122,11.971483200368144,3.5639093145713625
0.7820066115942464,0.2134887961758085,11.970389829394323,3.662986655984805
0.8006055098578887,0.1943648679057697,11.927544437676838,4.119085503898942
0.7950324203282353,0.18418281699704644,11.862088389064775,4.316539584368418
0.7873439372534785,0.17500857759083477,11.80118396652552,4.498887700774684
0.7796297009578138,0.1665723589482111,11.746985803090181,4.680426607875607
0.7724202662004012,0.1590425211511124,11.70393224181743,4.856690277605038
0.7656715976323494,0.1524331626034409,11.658321723786642,5.0229988314568095
0.7603630682480987,0.14686252638749636,11.626235829796714,5.1773797370330055
0.7596340656838072,0.14409108100239548,11.64059529321731,5.271902052502323
0.759879789096146,0.14393082676686594,11.646063502610547,5.27947908148247
0.7600388550211161,0.1440823257923914,11.64724345109017,5.275031832261356
0.7598104337427954,0.14396578664480772,11.644613589350664,5.27771529229649
0.7597071852771934,0.14397717809398625,11.64283417379674,5.276580603498614
0.7596519724481373,0.1440289159346855,11.64146100365634,5.2743018130652715
0.7597952144724542,0.14426458895729846,11.641593364473955,5.266678538122404
0.759634617633123,0.1442025381490476,11.63957055316293,5.267831117146949
0.7595376614064695,0.14419638582229327,11.638061177373345,5.267383485897621
0.7595955294164906,0.14433379837346286,11.63772013524081,5.262769621367835
0.7595373597500003,0.1443551991658177,11.636582346238775,5.261586448836775
0.759448816715147,0.14434301783880502,11.63526776102751,5.261417061151243
